signature;translation;speech part;transcription;synonyms;sentences;groups
come across;"1) повстречаться; случайно встретиться; 2) натолкнуться; случайно обнаружить";phrase;;encounter, run into;Hermione was skimming through all her notes, hoping to come across one of the enchantments they were about to try to break.;HARRY POTTER AND THE SORCERER'S STONE (book), phrasal verbs
come along;"делать успехи; продвигаться, идти (о делах, работе)";phrase;;;The first-born is an only child until the second child comes along.;LANGUAGE COURSES, phrasal verbs
come in handy;"1) быть кстати; 2) пригодиться";phrase;;;Scars can come in handy.;HARRY POTTER AND THE SORCERER'S STONE (book), idioms
come off it;"Брось!; Да перестань же!; Не гони!";interjection;;;Oh, come off it, you don't think we'd let you go alone?;HARRY POTTER AND THE SORCERER'S STONE (book)
come round;приходить в себя (после обморока, болезни);phrase;;;Mr. Ronald Weasley and Miss Granger will be most relieved you have come round, they have been extremely worried.;HARRY POTTER AND THE SORCERER'S STONE (book), medicine, phrasal verbs
commission;поручать, делать заказ;verb;;;Commissioned by the Royal Society of Arts, the sculpture stands 24 feet (7 metres) high beside the river Thames in London.;LANGUAGE COURSES, work
commute;"1) совершать регулярные поездки на работу в город из пригорода; 2) travel back and forth regularly, as between one's place of work and home";verb;;;He had commuted to the bay area for about a year but was now working for a local newspaper repairing computers and other various electronic equipment.;LANGUAGE COURSES, moving (verbs), work
compel;заставлять, вынуждать, принуждать;verb;;force, make;;violence
complexion;цвет лица;noun;;;She has a very sick complexion.[У неё очень больной цвет лица.];appearance, LANGUAGE COURSES
comply;"1) исполнять (просьбу, требование); 2) подчиняться (требованиям, правилам)";verb;;abide by, obey;If you join the club, you must comply with its rules.[Если ты вступишь в клуб, тебе придётся подчиняться его правилам.];law
comprise;включать, заключать в себе, вмещать, содержать;verb;;contain, include;"Ignore managed heap generations for now; we'll assume there's one contiguous block of memory available to comprise the entire managed object heap.";самые сложные слова, сложные слова
compulsory;"принудительный; вынужденный; обязательный";adjective;;mandatory;He didn't say anything then, but the next night he made us have compulsory study hall in the academic building and he came up and made a speech.;THE CATCHER IN THE RYE (book)
conceal;прятать, скрывать, утаивать, укрывать;verb;;hide;;
conceited;"тщеславный; самодовольный; высокомерный";adjective;;arrogant, proud, vain;Every time you mention some guy that's strictly a bastard - very mean, or very conceited and all - and when you mention it to the girl, she'll tell you he has an inferiority complex. | He's conceited, but he's very generous in some things.;THE CATCHER IN THE RYE (book), traits, самые сложные слова
concerto;концерт (произведение);noun;kənˈtʃertəʋ;;;holidays, LANGUAGE COURSES
concrete;бетонный;adjective;;;Caught by surprise, Harry fell hard on the concrete floor.;HARRY POTTER AND THE SORCERER'S STONE (book), materials
condemn;осуждать, приговаривать, выносить приговор;verb;;convict;;самые сложные слова, сложные слова
condemnation;неодобрение, осуждение, порицание;noun;;;This eventually led to the official condemnation of Bogomilism by the Orthodox Church and the fleeing of adherents of Bogomilism to the West where they reestablished themselves.;MYSTAGOGY
condense;"уплотнять, сгущать; уменьшать объём, сжимать";verb;;;She had a tin of condensed milk in her handbag, and she took this out and poured a small amount into each cup.;LANGUAGE COURSES, meal
conduct;"1) вести, сопровождать, водить; 2) проводить; 3) дирижировать";verb;;direct;An informal survey conducted on the Tokyo streets by Japan Today magazine, however, suggests that the nations' teens have other reasons for keeping hold of 'their best electric friend'.;work
confine;ограничивать;verb;;;I will confine my remarks to one subject.[Я ограничусь одной темой.];LANGUAGE COURSES
confirmation;подтверждение, утверждение;noun;;affirmation, corroboration;;
confuse;"смущать, приводить в замешательство; сбивать с толку; создавать путаницу";verb;;bewilder, embarrass;But Wood turned out to be a person, a burly fifth-year boy who came out of Flitwicles class looking confused.;
conjure;наколдовать (to make something appear by magic, or as if by magic);verb;ˈkʌnʤə;;On their last evening, Mrs. Weasley conjured up a sumptuous dinner that included all of Harry's favorite things, ending with a mouth-watering treacle pudding.[В последний вечер миссис Уизли устроила грандиозный обед: она сварила, нажарила, испекла все любимые кушанья Гарри. На сладкое был пудинг из патоки - пальчики оближешь!];HARRY POTTER AND THE CHAMBER OF SECRETS (book)
conquer;завоевывать, покорять, побеждать;verb;ˈkɔŋkər;defeat, overcome, vanquish;;battle
conscience;"1) совесть; 2) сознание";noun;ˈkɔnʃəns;;clear conscience[чистая совесть] | prisoner of conscience[узник совести];
considerable;"1) значительный; важный; 2) большой; немалый";adjective;;important, significant;;
constellation;созвездие;noun;;;;
contagious;"1) заразный, инфекционный; 2) заразительный";adjective;;;The infection is highly contagious, so don't let anyone else use your towel.;INFORMATION TECHNOLOGIES
contain;содержать(ся), вмещать;verb;;comprise, include;;
contaminate;"загрязнять; заражать; осквернять";verb;kənˈtæməˌneɪt;pollute;;pollution, самые сложные слова, сложные слова
contemn;"презирать; пренебрегать";verb;kənˈtem;despise;;disgust
contiguous;"соприкасающийся; смежный; граничащий, прилегающий";adjective;kənˈtɪgjuəs;;"Ignore managed heap generations for now; we'll assume there's one contiguous block of memory available to comprise the entire managed object heap.";INFORMATION TECHNOLOGIES
continue;"продолжать(ся); длиться; возобновлять";verb;;carry on, go on, keep on, proceed;;
contradict;противоречить, возражать;verb;;mind, object, protest;;
control;"контролировать, регулировать; управлять, руководить";verb;;direct, govern, manage, rule;List partitioning enables you to explicitly control how rows map to partitions by specifying a list of discrete values for the partitioning key in the description for each partition. | The government is trying to control spending. | You're going to have to learn to control your temper.;work
convent;монастырь;noun;;;While I was eating my eggs, these two nuns with suitcases and all - I guessed they were moving to another convent or something and were waiting for a train - came in and sat down next to me at the counter.;religion, THE CATCHER IN THE RYE (book)
convert;(рел.) новообращённый, неофит;noun;ˈkɔnvɜːt;;"In his notes for such a manual, he jotted down the following ""convert pitfalls"", or what he called ""obstacles in the Orthodox mission today"".";MYSTAGOGY, religion
convict;признать виновным, выносить приговор, осуждать;verb;;condemn;;самые сложные слова, сложные слова
convince;убеждать, уверять;verb;;persuade;;
copious;"обильный; богатый, обширный";adjective;ˈkəʊpɪəs;;She was a thin woman with a rather long face and braided hair in which she had rubbed copious quantities of henna.;LANGUAGE COURSES
cord;"1) веревка; шнурок; шнур; 2) струна";noun;;cable, rope, string;;
cordial;сердечный, искренний, радушный;adjective;ˈkɔːrʤəl;;There was a cordial welcoming smile on his face.;
corkscrew;штопор;noun;;;;LANGUAGE COURSES
cornflower;василек;noun;;;;plants
corny;"1) хлебный; зерновой; 2) банальный";adjective;;;But when I'm with somebody that's corny, I always act corny too. | He started off with about fifty corny jokes, just to show us what a regular guy he was.;THE CATCHER IN THE RYE (book), самые сложные слова
corroboration;подтверждение;noun;;affirmation, confirmation;;
cost a bomb;to be very expensive;phrase;;;Strawberries cost a bomb at this time of year.;idioms, LANGUAGE COURSES
courageous;смелый, отважный, храбрый;adjective;;brave, valiant;;traits
courteous;вежливый, обходительный, учтивый;adjective;;civil, polite;;traits
cover;"1) покрывать, закрывать, накрывать, крыть; 2) скрывать, укрывать; 3) держать под прицелом";verb;;coat;I've got you covered.[Я держу вас под прицелом.] | The National Gallery, London, houses one of the greatest collections of European painting in the world, with over 2,300 paintings covering the period from about 1250 to 1900.;arms, REPEATING
cowardly;"трусливый; малодушный";adjective;;yellow;;traits
cower;сжиматься, съёживаться (to lower your head or body in fear, often while moving backwards);verb;ˈkauə;;All three of Mrs. Weasley's sons were taller than she was, but they cowered as her rage broke over them.;HARRY POTTER AND THE CHAMBER OF SECRETS (book)
crack;"1) производить треск; трещать; трескаться; 2) хлопнуть, грохнуть (о звуке выстрела); 3) раскалывать(ся); колоть; ломаться";verb;;;But as the High Table was full of teachers, neither of them could do more than crack their knuckles and scowl. | He thought two of his ribs might already have cracked from trying not to laugh. | His rifle cracked.;arms, HARRY POTTER AND THE SORCERER'S STONE (book), sounds
crackle;потрескивать, трещать, хрустеть;verb;;crunch;The fire crackled.;picnic, REPEATING, sounds
craft;изготавливать (to make objects, especially in a skilled way);verb;;;In my opinion Peterson has crafted an impessive film.;LANGUAGE COURSES, work
cram;"переполнять; набивать; запихивать";verb;;jampack, ram;They crammed their pockets with the last of the sweets and joined the crowd thronging the corridor.;HARRY POTTER AND THE SORCERER'S STONE (book)
crane;вытягивать шею;verb;;;He sprang forward with short, stiff bounds, craning his neck as if to see over obstacles. | She spent so much of her time craning over garden fences, spying on the neighbors.;HARRY POTTER AND THE SORCERER'S STONE (book)
crap;"1) чепуха; 2) дрисня, пердеж, дерьмо (разг.)";noun;;turd;All that crap they have in cartoons in the Saturday Evening Post and all, showing guys on street corners looking sore as hell because their dates are late - that's bunk. | all that David Copperfield kind of crap | It wasn't too cold, but the sun still wasn't out, and there didn't look like there was anything in the park except dog crap and globs of spit and cigar butts from old men, and the benches all looked like they'd be wet if you sat down on them.;THE CATCHER IN THE RYE (book)
crate;"(деревянный) ящик; тара для упаковки (клеть, корзина)";noun;;;He was carrying a large wooden crate under his arm.;HARRY POTTER AND THE SORCERER'S STONE (book)
crave;"1) страстно желать, жаждать (have a craving, appetite, or great desire for); 2) просить, умолять";verb;;desire, long, yearn;;
crawl;"1) ползать, ползти; 2) плавать кролем; 3) тащиться; 4) пресмыкаться";verb;;creep;;moving (verbs)
crayfish;речной рак;noun;;;;fish
crazy;"сумасшедший; безумный; чокнутый";adjective;;insane, mad;;traits
creak;скрипеть (make a high-pitched, screeching noise);verb;;screech, whine;The door creaked when I opened it slowly.;LANGUAGE COURSES, sounds
crease;"1) складка, морщина; 2) черта, линия; 3) загиб, сгиб";noun;;wrinkle;;appearance
crease;"make wrinkles or creases on a smooth surface; make a pressed, folded or wrinkled line in";verb;;crinkle, crumple, wrinkle;;appearance
creep;"1) ползать, ползти; 2) еле передвигать ноги; 3) красться, подкрадываться; 4) пресмыкаться";verb;;crawl;While Mrs. Dursley was in the bathroom, Mr. Dursley crept to the bedroom window and peered down into the front garden.;moving (verbs)
creepy;вызывающий мурашки (annoying and unpleasant);adjective;;;It was colder here than up in the main castle, and would have been quite creepy enough without the pickled animals floating in glass jars all around the walls.;HARRY POTTER AND THE SORCERER'S STONE (book)
criminal;"уголовник; преступник";noun;;offender, perpetrator;;law, violence
cringe;"чувствовать раздражение, досаду, отвращение; съёживаться, сжиматься (to suddenly move away from someone or something because you are frightened)";verb;;flinch;In a matter of seconds, the two boys felt it loosening its grip as it cringed away from the light and warmth.;disgust, fear, HARRY POTTER AND THE SORCERER'S STONE (book)
crinkle;морщить(ся);verb;;crease, crumple, wrinkle;Harry looked up into the fierce, wild, shadowy face and saw that the beetle eyes were crinkled in a smile.;appearance, HARRY POTTER AND THE SORCERER'S STONE (book)
croak;"1) каркать; квакать; 2) издавать хриплые звуки (because you have a sore or dry throat, you speak with a rough voice)";verb;;;"""No,"" croaked Harry. ""Please... they'll kill me...""";HARRY POTTER AND THE CHAMBER OF SECRETS (book), sounds
crook;"1) крюк; 2) обманщик; плут";noun;;imposter;Pencey was full of crooks.;fraud, odd people, THE CATCHER IN THE RYE (book)
cross;"1) сердитый, злой, раздраженный; 2) поперечный, перекрестный, пересекающийся";adjective;;angry;;traits, сложные слова
crossbow;"самострел; арбалет ";noun;;;A crossbow and a pair of galoshes were outside the front door.;arms, HARRY POTTER AND THE SORCERER'S STONE (book)
crouch;склониться, согнуться;verb;;bend, bow, stoop;Reaching Snape, she crouched down, pulled out her wand, and whispered a few, well-chosen words. Bright blue flames shot from her wand onto the hem of Snape's robes.;HARRY POTTER AND THE SORCERER'S STONE (book)
crowd;"1) толпа; 2) простой люд; народ";noun;;flock, herd, huddle, mob, swarm;Then the whole crowd gasped.;
crucial;"ключевой; критический, решающий (extremely important or necessary)";adjective;ˈkruːʃ(ə)l;essential, important;Her work has been crucial to the project's success.;INFORMATION TECHNOLOGIES
cruelty;жестокость, безжалостность;noun;;atrocity, brutality;;violence
crumby;"усыпанный крошками; мерзкий; грязный";adjective;;;Her son was doubtless the biggest bastard that ever went to Pencey, in the whole crumby history of the school. | I don't feel like walking on your crumby nails in my bare feet tonight. | That guy had just about everything: sinus trouble, pimples, lousy teeth, halitosis, crumby fingernails. | Then he gave me a big shove with his crumby hand.;THE CATCHER IN THE RYE (book)
crumple;комкать(ся), мять(ся), морщинить(ся);verb;;crease, crinkle, wrinkle;Harry thought the baby dragon looked like a crumpled, black umbrella.;appearance, HARRY POTTER AND THE SORCERER'S STONE (book)
crunch;грызть с хрустом, хрустеть;verb;;crackle;His teeth crunched through the tender flesh and fragile bones.;animals, sounds, WHITE FANG (book)
cry;"1) кричать, вопить; 2) плакать";verb;;call out, scream, shout, sob, weep, yell;;sounds
cuckoo;"кукушка; кукование";noun;ˈkʊːkʊː;;;birds
cuff;"бить рукой, слегка ударять рукой; шлепать";verb;;box smb.'s ears;;striking (verbs)
culpable;"виновный, преступный; заслуживающий порицания, осуждения";adjective;;;For in what way is the earth and all the rest of God's creation (except the serpent) culpable for Adam's sin?;MYSTAGOGY
culprit;"преступник; виновный, правонарушитель";noun;ˈkʌlprɪt;perpetrator;In the latter case, you know there's a problem but you don't know who the culprit is, but with checked containers you find out who tried to insert the bad object.;INFORMATION TECHNOLOGIES
cumbersome;громоздкий, объёмный, неизящный (awkward because of being large, heavy or not effective);adjective;ˈkʌmbəsəm;awkward;Although this is most likely a rather cumbersome LINQ provider, it illustrates the power of query expression syntax.;INFORMATION TECHNOLOGIES
cunning;"1) хитрый, лукавый, коварный; пронырливый; 2) изящный, очаровательный; прелестный, притягательный; 3) умелый, искусный";adjective;;clever, cute, dodgy, ingenious, sly, tricky, wily;He's a very cunning man. | He was enthusiastic - cunning Burlingham, who knew so well how to get the best out of everyone!;appearance, fraud, LANGUAGE COURSES, traits
curb;"обочина тротуара; бордюрный камень";noun;;;The kid was swell. He was walking in the street, instead of on the sidewalk, but right next to the curb.;THE CATCHER IN THE RYE (book)
curry;"1) карри (острая приправа); 2) блюдо, приправленное карри";noun;;;For example, Indian food in Britain is not the same as an authentic curry from India, but for some, it's more better.;LANGUAGE COURSES, meal
curry favour;выслуживаться, заискивать (to praise someone, especially someone in authority, in a way that is not sincere, in order to get some advantage for yourself);phrase;;;I suppose you mean we ought to spend all our time sucking up to Them, and currying favour, and dancing attendance on Them like you do.;idioms, THE SILVER CHAIR (book) 
curse;"1) проклинать; 2) сквернословить; ругаться";verb;;;I was trying to find out how to curse Dudley. | We could hear him cursing and swearing as he tried to get the door open.;HARRY POTTER AND THE SORCERER'S STONE (book)
cute;"1) привлекательный; милый; 2) умный; сообразительный; остроумный";adjective;;clever, cunning, smart;Then, when she was all done whispering and being cute as hell, she'd sing some dopey song, half in English and half in French, and drive all the phonies in the place mad with joy.;THE CATCHER IN THE RYE (book), traits
cut out;"выходить из игры; бросать; переставать";phrase;;;I cut out going there entirely, gradually.;phrasal verbs, THE CATCHER IN THE RYE (book), самые сложные слова
cutting;"1) резкий; острый; 2) язвительный";adjective;;keen, piercing, sharp;What I might do, I might say something very cutting and snotty, to rile him up - instead of socking him in the jaw.;THE CATCHER IN THE RYE (book)
cutting-edge;передовой, современный;adjective;;;Partitioning also enables database designers and administrators to tackle some of the toughest problems posed by cutting-edge applications.;INFORMATION TECHNOLOGIES
CV;резюме (curriculum vitae);noun;;;The one thing I did notice about your CV is the two lines in which you mention your high school.;LANGUAGE COURSES, work
dab;"слегка прикасаться; дотрагиваться; прикладывать что-л. мягкое";verb;;;Professor McGonagall pulled out a lace handkerchief and dabbed at her eyes beneath her spectacles.;HARRY POTTER AND THE SORCERER'S STONE (book)
dagger;кинжал;noun;ˈdægə;;He revealed red gums and the smooth, ivory daggers of his teeth.;arms, REPEATING
damage;"вред, повреждение; ущерб, урон";noun;;harm, hurt, injury;;violence
damp;влажный, сырой;adjective;;humid, moist, soaked, soggy, wet;"He succeeded in igniting match against the damp wall. | The inside was horrible; it smelled strongly of seaweed, the wind whistled through the gaps in the wooden walls, and the fireplace was damp and empty.";
dampen smb.'s spirits;портить кому-л. настроение;phrase;;;Even the endless rain that had replaced the snow couldn't dampen his spirits.;HARRY POTTER AND THE SORCERER'S STONE (book)
dance attendance on smb.;лакействовать (to do everything that someone asks you to and treat them as if they are special);phrase;;;I suppose you mean we ought to spend all our time sucking up to Them, and currying favour, and dancing attendance on Them like you do.;idioms, THE SILVER CHAIR (book) 
dangerous;опасный, рискованный;adjective;;perilous, risky;;
dangle;болтаться, свободно свисать, качаться;verb;;;He was now dangling from it, holding on with only one hand.;HARRY POTTER AND THE SORCERER'S STONE (book)
dare;"сметь, посметь; отваживаться; рисковать";verb;;risk, venture;;
daring;"1) отважный, бесстрашный (disposed to venture or take risks); 2) дерзкий";adjective;;bold;He was a daring and successful robber.;traits
daze;"1) изумлять, удивлять, ошеломлять; 2) ослепить";verb;;dazzle, stun;;сложные слова
dazzle;"1) слепить, ослеплять (ярким светом); 2) ослеплять блеском, великолепием";verb;ˈdæzl;daze;Gilderoy Lockhart came slowly into view, seated at a table surrounded by large pictures of his own face, all winking and flashing dazzlingly white teeth at the crowd.;HARRY POTTER AND THE CHAMBER OF SECRETS (book)
deafen;"1) оглушать (приводить к временной потере слуха); 2) заглушать (делать неслышным)";verb;ˈdef(ə)n;;The din was deafening.;HARRY POTTER AND THE SORCERER'S STONE (book)
deaf-mute;глухонемой;adjective;;;;medicine, THE CATCHER IN THE RYE (book), самые сложные слова
decay;гнить, портиться, разлагаться;verb;;rot;;disgust
decease;гибель, кончина, смерть;noun;dɪˈsiːs;;The house will not be yours till after your mother's decease.;LANGUAGE COURSES
deceive;"1) обманывать; вводить в заблуждение, сбивать с толку; 2) изменять, нарушать верность, предавать";verb;;cheat, chisel, delude;;fraud
decent;"1) приличный, порядочный; 2) славный, хороший";adjective;ˈdiːsənt;;I thought he was a decent sort of person. | It was very decent of you to help. | Sloppy code might be swallowing exceptions improperly without decent handling.;REPEATING, traits
decide;решать(ся), принимать решение;verb;;determine;The judge decided to fine the man $500 instead of sending him to prison.;
decorate;"украшать; отделывать";verb;;embellish, trim;The landlord had promised to redecorate the bedrooms before we moved in.;
decrease;уменьшать(ся), убывать (decrease in size, extent, or range);verb;;diminish, lessen;;
dedicate;"посвящать; посветить";verb;;devote;;
dedicated;"посвятивший себя; преданный";adjective;;devoted;;traits
defeat;наносить поражение, разбивать, побеждать;verb;;conquer, overcome, vanquish;;battle
defer;"задерживать, откладывать, отсрочивать, оттягивать, медлить (to delay something until a later time; to postpone)";verb;dɪˈfɜː;delay, postpone, put off;The last thing you do is call highlightWindow.defer and pass a value of 1000, which defers the execution of highlightWindow by one second.;INFORMATION TECHNOLOGIES
define;"определять, давать точное определение; устанавливать; обозначать, очерчивать";verb;;determine;"For most of their lives, their personality, self-esteem and status have been defined by work; without it, they lose their appetite for life.";
defraud;обманывать, обманом лишать;verb;;cheat, chisel, hoodwink, swindle;;fraud
degree;"1) степень, уровень; 2) градус; 3) звание; ученая степень";noun;dɪˈgriː;;master's degree[степень магистра] | to do a degree[получать степень ];education, LANGUAGE COURSES
delay;"1) задерживать; 2) медлить, мешкать; 3) препятствовать; 4) отсрочивать, откладывать";verb;;defer, hold smb. up, postpone, put off;without delay[безотлагательно];
delight;"1) восторг, восхищение; 2) наслаждение, удовольствие";noun;;enjoyment, gratification, pleasure, treat;;
deliver;"1) доставлять, разносить, развозить; 2) читать (лекцию), произносить (речь), выступать (с докладом)";verb;;;to deliver a lecture[читать лекцию];education, LANGUAGE COURSES
delude;вводить в заблуждение, обманывать;verb;;cheat, chisel, deceive;;fraud
delve;"делать изыскания, изучать, тщательно исследовать; рыться, копаться (в книгах, документах)";verb;;;Before we delve into specifics of multithreaded programming in managed code, we should spend a few minutes talking about the general notion of threading.;INFORMATION TECHNOLOGIES
demand;"1) требование, запрос; 2) потребность, нужда; 3) спрос";noun;;claim, request, requirement;;
demand;"требовать, предъявлять требование; нуждаться";verb;;call for, require;;
demolish;разрушать, уничтожать;verb;;annihilate, destroy, ruin;;battle, сложные слова
denim;джинсовая ткань;noun;;;She was wearing a denim jacket and a blue skirt.;LANGUAGE COURSES, materials
dent;вмятина, вогнутое или вдавленное место;noun;;;What's that dent in the side of the car?;REPEATING
deprive;отбирать, отнимать, лишать (чего-л.);verb;;;Making illegal copies of tracks deprives them of royalties.;fraud, LANGUAGE COURSES
desert;"оставлять, покидать; бросать";verb;;abandon, forsake, leave;;
desert island;необитаемый остров;phrase;;;;geography, holidays, LANGUAGE COURSES
desire;"1) желать, хотеть; 2) просить, требовать";verb;;crave, long, yearn;;
desperate;"1) отчаянный; 2) испытывающий большую нужду (в чём-л.)";adjective;;;But Neville was clearly steeling himself to do something desperate. | I wouldn't visit that sonuvabitch Morrow for all the dough in the world, even if I was desperate. | Neville was hanging on to her every word, desperate for anything that might help him hang on to his broomstick later.;THE CATCHER IN THE RYE (book)
despise;презирать;verb;;contemn;;disgust
dessert;десерт, сладкое (блюдо);noun;dɪˈzɜːt;;A moment later the desserts appeared. Blocks of ice cream in every flavor you could think of, apple pies, treacle tarts, chocolate eclairs and jam doughnuts, trifle, strawberries, Jell-O, rice pudding.;LANGUAGE COURSES, meal
destroy;разрушать, уничтожать;verb;;annihilate, demolish, ruin;;battle
detention;"задержание, арест; содержание под арестом";noun;;;Malfoy's got detention! I could sing!;HARRY POTTER AND THE SORCERER'S STONE (book)
deteriorate;ухудшать(ся), портить(ся);verb;dɪˈtɪərɪəˌreɪt;worsen;;сложные слова
determine;"1) определять, устанавливать; 2) решать(ся)";verb;;decide, define;;
detest;ненавидеть, питать отвращение;verb;dɪˈtest;hate, loathe;Well, they did rather detest each other.;disgust, HARRY POTTER AND THE SORCERER'S STONE (book)
devise;придумывать, изобретать;verb;;invent;;
devote;"посвящать; посветить";verb;;dedicate;;
devoted;"преданный; посвященный";adjective;;dedicated;;traits
devour;"1) жадно есть; глотать, давясь; 2) поглощать; уничтожать; разрушать";verb;dɪˈvauə;bolt, wolf down;He grasped it and devoured it mechanically.;eat, REPEATING
die;"умирать; скончаться";verb;;pass away, perish;She fought against racism all her life and died a martyr to the cause. | The mark of the immature man is that he wants to die nobly for a cause, while the mark of the mature man is that he wants to live humbly for one.;medicine
diminish;уменьшать(ся), убавлять(ся) (decrease in size, extent, or range);verb;;decrease, lessen;;
din;шум, грохот, гул;noun;;racket, uproar;The din was deafening.;HARRY POTTER AND THE SORCERER'S STONE (book)
dingy;"1) выцветший, тусклый; 2) грязный, запачканный";adjective;ˈdɪnʤɪ;blue, dirty, dreary, gloomy, grim, muddy;But for all he could see, he had become a pair of eyeballs, floating a few feet above the ground in a dingy street full of parked cars.;HARRY POTTER AND THE CHAMBER OF SECRETS (book)
dip;"1) макать, окунать; 2) окунаться; нырять";verb;;immerse, plunge;The swimmer dipped into the river but it was too cold.;HARRY POTTER AND THE CHAMBER OF SECRETS (book)
direct;"1) направлять; 2) руководить, управлять; 3) дирижировать; 4) ставить пьесу, спектакль, фильм";verb;;conduct, control;He wanted to give up acting and start directing his own films.;films, work
dirty;"1) грязный, нечистый, замаранный; 2) подлый, непристойный, нечестный";adjective;;dingy, filthy, foul, grubby, lousy, muddy, unclean;This hat was patched and frayed and extremely dirty.;appearance
disabled;"страдающий от увечья, болезни; неполноценный; нетрудоспособный";adjective;dɪsˈeɪbld;;The accident left him severely disabled.;LANGUAGE COURSES, medicine
disappear;исчезать, пропадать;verb;;vanish;Over and over again he dreamed about his parents disappearing in a flash of green light, while a high voice cackled with laughter.;
disappoint;разочаровывать, расстраивать планы;verb;;disillusion, frustrate;;
discard;избавляться от чего-л. (отбрасывать, выбрасывать за ненадобностью);verb;;;Discarded food containers and bottles littered the streets.;LANGUAGE COURSES, pollution
discharge;"1) разгружать, разряжать; 2) освобождать, отпускать; 3) увольнять, демобилизовать";verb;;dismiss, fire, release, sack;;arms
disciple;"ученик; последователь; апостол";noun;;;He kept telling me if I didn't like the Disciples, then I didn't like Jesus and all.;religion, THE CATCHER IN THE RYE (book)
discipline;дисциплина, порядок;noun;ˈdɪsəplɪn;;She insists upon strict discipline throughout the school, and if you take my advice you will do your very best to behave yourselves in her presence.;education, LANGUAGE COURSES
discreet;"осмотрительный, осторожный; рассудительный, благоразумный; сдержанный; тактичный";adjective;dɪˈskriːt;;My friends are very discreet. They always keep my secrets.;REPEATING, traits
discrepancy;"несоответствие, расхождение; различие, отличие (difference between two things that should be the same)";noun;dɪsˈkrep(ə)n(t)sɪ;;The authors are unable to discover the cause of this discrepancy. | There is some discrepancy between the two accounts.;INFORMATION TECHNOLOGIES
disgruntle;"раздражать; сердить (put into a bad mood or into bad humour)";verb;;;Owls hooted to one another in a disgruntled sort of way over the babble and the scraping of heavy trunks.;HARRY POTTER AND THE SORCERER'S STONE (book)
disgust;внушать отвращение, быть противным;verb;;nauseate, sicken;;disgust
disillusion;разочаровывать, разрушать иллюзии;verb;;disappoint;;сложные слова
dismiss;"1) отпускать, освобождать, распускать; 2) увольнять; 3) прекращать";verb;;discharge, fire, release, sack;to dismiss the subject[прекратить обсуждение вопроса];work
dissect;"1) мед. анатомировать, вскрывать, препарировать; 2) анализировать; проводить анализ, разбирать детально";verb;dɪˈsekt;;It's important to dissect what's going on, which will require us to do a little math.;INFORMATION TECHNOLOGIES
distinct;"ясный; явственный; отчетливый";adjective;;clear, lucid, plain;She looked distinctly ruffled.;THE CATCHER IN THE RYE (book)
distinguish;"отличать; различать";verb;;make out, tell;;LANGUAGE COURSES
distort;"1) искажать; искривлять; коверкать; деформировать; 2) искажаться; деформироваться; терять форму";verb;;;His face distorted with passion.;REPEATING
distract;отвлекать, уводить в сторону;verb;;;"""So you don't think I'm a match for Lucius Malfoy?"" said Mr. Weasley indignantly, but he was distracted almost at once by the sight of Hermione's parents.";HARRY POTTER AND THE CHAMBER OF SECRETS (book)
disturb;"1) нарушать; 2) беспокоить, мешать";verb;;trouble;;
disturbance;"1) нарушение; 2) волнение; беспорядки; 3) беспокойство; расстройство";noun;;;He said that the boy that had created the disturbance in chapel wasn't fit to go to Pencey.;THE CATCHER IN THE RYE (book)
diversion;отвлечение внимания;noun;daɪˈvɜːʃ(ə)n;;And I'd bet my broomstick he let that troll in, to make a diversion!;HARRY POTTER AND THE SORCERER'S STONE (book)
divine;"1) божественный (относящийся к Богу, божеству); 2) богоподобный; божественный; небесный, неземной";adjective;;;The Ayatollah described the earthquake in Iran as a divine test.;INTERNET, religion
dizzy;чувствующий головокружение;adjective;;;And everybody kept coming in and going out all the time - you got dizzy watching people sit down and stand up. | I got sort of dizzy and I thought I was going to pass out or something again. | I was still feeling sort of dizzy or something, and I had a helluva headache all of a sudden.;THE CATCHER IN THE RYE (book), самые сложные слова
docile;послушный, покорный;adjective;ˈdɔsəl;obedient;Americans used to be wily goats, now we're docile sheep.;traits
dodge;избегать, увертываться, уклоняться (от удара);verb;;avoid, duck, evade;She was thrilling to a desire that urged her to go forward, to be in closer to that fire, to be squabbling with the dogs, and to be avoiding and dodging the stumbling feet of men.;WHITE FANG (book)
dodgy;"изворотливый, ловкий; нечестный, с хитрецой";adjective;;cunning, sly, tricky, wily;They got involved with a dodgy businessman and lost all their savings.;HARRY POTTER AND THE CHAMBER OF SECRETS (book), traits
domain;"1) территория, зона, область, район; 2) сфера (интересов), поле (деятельности), область (знаний)";noun;dəuˈmeɪn;;One of the best understood domains of concurrency is in data processing, as testified by the long history of query optimization in database management systems.;INFORMATION TECHNOLOGIES
doom;"обрекать; предопределять";verb;;;Is every high street in the world doomed to be the same?;LANGUAGE COURSES
doorknob;a round handle that you turn to open a door;noun;;;Harry groped for the doorknob - between Filch and death, he'd take Filch.;HARRY POTTER AND THE SORCERER'S STONE (book)
dope;"1) дурак; болван; остолоп; 2) допинг; наркотик; дурман";noun;;berk, dunderhead, wally;I asked them if they liked it, but do you think you could get an intelligent answer out of those three dopes? | She didn't look like any dope to me. | What a dope I was. | You could even be a dope fiend and nobody'd care.;odd people, THE CATCHER IN THE RYE (book)
